epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.215,1.00982,2.34525,2.83148,1.28038,0.63487,0.29886,0.32241,0.21943,0.62754,0.29361,0.31636,0.19413,1.04743,2.4178,3.21686,1.41364,0.00332929,0.00332929,0.00332929
2,364.827,1.00229,2.0099,1.77545,1.24481,0.53166,0.37466,0.34694,0.24187,0.52692,0.35321,0.3266,0.2058,1.21591,2.6583,3.054,1.4795,0.00659667,0.00659667,0.00659667
3,541.45,1.06553,2.1182,1.72044,1.28067,0.6278,0.36151,0.37029,0.24268,0.62842,0.35059,0.36088,0.21195,1.33177,2.76555,3.12584,1.54302,0.00979804,0.00979804,0.00979804
4,717.36,1.10015,2.15181,1.62911,1.30098,0.58568,0.45933,0.48204,0.30663,0.60624,0.44673,0.47142,0.27959,1.31053,2.62107,2.57473,1.54001,0.009703,0.009703,0.009703
5,891.971,1.05633,2.06822,1.4693,1.27751,0.56186,0.45856,0.45143,0.3045,0.57325,0.45557,0.44899,0.28298,1.26201,2.56543,2.5728,1.49135,0.009604,0.009604,0.009604
6,1065.84,1.01747,1.98273,1.3358,1.25285,0.65368,0.47147,0.49875,0.34901,0.65477,0.4624,0.48889,0.30569,1.34364,2.81916,2.50306,1.56016,0.009505,0.009505,0.009505
7,1239.41,0.99867,1.93183,1.26203,1.243,0.671,0.52201,0.5556,0.38911,0.68213,0.51863,0.55685,0.35708,1.16684,2.29922,2.26677,1.44953,0.009406,0.009406,0.009406
8,1413.54,0.98206,1.89332,1.21095,1.22983,0.67114,0.53401,0.53602,0.39066,0.6777,0.53358,0.5356,0.36681,1.14578,2.24821,2.3798,1.43337,0.009307,0.009307,0.009307
9,1586.35,0.95458,1.82837,1.14224,1.21106,0.75315,0.53544,0.58196,0.42792,0.75793,0.53427,0.58205,0.39626,1.09283,2.17863,2.92036,1.38746,0.009208,0.009208,0.009208
10,1761.61,0.94474,1.81414,1.11667,1.21116,0.69544,0.54928,0.58526,0.42277,0.702,0.54694,0.58461,0.40208,1.10716,2.10314,2.13629,1.41143,0.009109,0.009109,0.009109
11,1933.9,0.92413,1.79034,1.07603,1.2003,0.76073,0.51246,0.56367,0.4104,0.76424,0.51234,0.56589,0.38294,1.05596,2.11911,2.14763,1.39053,0.00901,0.00901,0.00901
12,2106.51,0.91764,1.76944,1.04903,1.19136,0.7422,0.54534,0.5778,0.42889,0.75548,0.53549,0.57396,0.40142,1.06495,2.08878,2.17681,1.37306,0.008911,0.008911,0.008911
13,2278.98,0.90965,1.72069,1.02876,1.18552,0.73618,0.58454,0.60411,0.44464,0.79433,0.55897,0.60539,0.41906,1.08317,2.07354,2.07046,1.41571,0.008812,0.008812,0.008812
14,2450.9,0.89162,1.70314,0.99653,1.17594,0.76001,0.58093,0.61222,0.46035,0.7762,0.57698,0.61465,0.43182,1.06038,1.91235,1.89174,1.32558,0.008713,0.008713,0.008713
15,2623.16,0.88324,1.70119,0.98561,1.17192,0.78271,0.57487,0.60645,0.45134,0.76833,0.58505,0.60609,0.42012,1.06699,2.02637,2.02731,1.37952,0.008614,0.008614,0.008614
16,2795.23,0.87554,1.67177,0.95852,1.16253,0.78339,0.57614,0.61027,0.47127,0.78309,0.57939,0.61081,0.43227,1.04258,2.00921,2.01584,1.3537,0.008515,0.008515,0.008515
